MAT,MAP,SOC,pH,Clay,Duration,C_input,N_input,Planting_system,Return,Tillage,Irrigation,Topdressing,CO2
9.6,487,7.7,8.2,23.0,2,6901,250,Maize,SI,CT,NI,No,3731
9.6,487,7.7,8.2,23.0,2,6901,250,Maize,SI,CT,NI,No,2830
11.0,500,10.8,7.8,24.0,4,3022,495,Wheat_maize,SI,CT,CI,Yes,3396
10.7,555,7.5,7.7,33.6,21,1995,150,Wheat,SM,NT,NI,No,1358
10.7,555,7.5,7.7,33.6,21,1995,150,Wheat,SM,NT,NI,No,1603
7.3,200,4.5,7.43,22.4,1,3322,225,Wheat,SM,NT,OI,Yes,-655
7.3,200,4.5,7.43,22.4,1,3394,225,Wheat,SM,NT,OI,Yes,-951
7.3,200,4.5,7.43,22.4,1,3093,225,Wheat,SI,CT,OI,Yes,-260
7.3,200,4.5,7.43,22.4,2,3217,225,Wheat,SM,NT,OI,Yes,-579
7.3,200,4.5,7.43,22.4,2,3236,225,Wheat,SM,NT,OI,Yes,-836
7.3,200,4.5,7.43,22.4,2,3032,225,Wheat,SI,CT,OI,Yes,-172
7.3,200,4.5,7.43,22.4,3,3547,225,Wheat,SM,NT,OI,Yes,-597
7.3,200,4.5,7.43,22.4,3,3622,225,Wheat,SM,NT,OI,Yes,-896
7.3,200,4.5,7.43,22.4,3,3379,225,Wheat,SI,CT,OI,Yes,-213
2.4,477,22.5,6.2,25.3,1,1665,250,Maize,SI,DT,NI,No,2377
4.0,450,14.4,6.35,27.4,1,1332,160,Maize,SI,DT,NI,Yes,276
4.0,450,14.4,6.35,27.4,1,1998,160,Maize,SI,DT,NI,Yes,643
4.0,450,14.4,6.35,27.4,1,3996,160,Maize,SI,DT,NI,Yes,919
2.4,477,22.5,6.2,25.3,1,1665,250,Maize,SI,DT,NI,No,2368
2.4,477,22.5,6.2,25.3,1,1665,250,Maize,SI,DT,NI,No,1465
2.4,477,22.5,6.2,25.3,1,1665,250,Maize,SI,DT,NI,No,2867
4.0,450,13.2,7.6,27.4,26,3465,112,Maize,SI,CT,NI,Yes,1331
8.4,481,8.8,7.8,19.5,1,3552,225,Maize,SI,CT,NI,No,3
8.4,481,8.8,7.8,19.5,1,3552,225,Maize,SDB,NT,NI,No,433
11.5,640,23.2,3.49,27.4,5,2461,0,Wheat_maize,SI,CT,OI,No,1560
11.5,640,23.2,3.49,27.4,5,2677,300,Wheat_maize,SI,CT,OI,Yes,1830
11.5,640,23.2,3.49,27.4,1,2617,300,Wheat_maize,SI,CT,OI,Yes,1700
11.5,640,23.2,3.49,27.4,1,2659,180,Wheat_maize,SI,CT,OI,Yes,2750
11.0,449,1.3,8.27,21.9,2,2664,130,Maize,SI,CT,NI,No,3598
11.0,449,1.3,8.27,21.9,2,2664,130,Maize,SM,NT,NI,No,1676
11.0,449,1.3,8.27,21.9,2,2664,130,Maize,SI,CT,NI,No,3943
11.0,449,1.3,8.27,21.9,2,2664,130,Maize,SM,NT,NI,No,1922
18.3,1087,10.0,6.7,28.3,2,3552,330,Wheat_maize,SI,CT,CI,Yes,5402
4.9,538,20.7,7.8,27.4,1,5996,100,Maize,SM,NT,NI,No,2460
2.4,477,25.6,6.5,25.3,3,6105,240,Maize,SI,DT,NI,No,990
13.0,586,10.8,8.1,20.2,2,2483,200,Wheat,SI,CT,CI,Yes,3797
13.0,622,10.0,7.77,4.0,5,6356,468,Wheat_maize,SM,CT,NI,Yes,1247
13.0,622,10.0,7.77,4.0,5,6467,468,Wheat_maize,SI,DT,NI,Yes,4033
13.0,622,10.0,7.77,4.0,6,6191,468,Wheat_maize,SM,CT,NI,Yes,2493
13.0,622,10.0,7.77,4.0,6,6644,468,Wheat_maize,SI,DT,NI,Yes,3410
24.5,800,11.8,5.8,29.0,1,2400,40,Maize,SI,CT,CI,No,342
24.5,800,11.8,5.8,29.0,1,2400,40,Maize,SI,CT,CI,No,2032
24.5,800,11.8,5.8,29.0,1,1133,40,Maize,SI,CT,CI,No,763
24.5,800,11.8,5.8,29.0,1,1133,40,Maize,SI,CT,CI,No,814
24.5,800,11.8,5.8,29.0,2,2400,40,Maize,SI,CT,CI,No,1766
24.5,800,11.8,5.8,29.0,2,1133,40,Maize,SI,CT,CI,No,1105
24.5,800,3.0,5.0,3.0,1,2400,40,Maize,SI,CT,CI,No,578
24.5,800,3.0,5.0,3.0,1,2400,40,Maize,SI,CT,CI,No,629
24.5,800,3.0,5.0,3.0,1,1133,40,Maize,SI,CT,CI,No,338
24.5,800,3.0,5.0,3.0,2,2400,40,Maize,SI,CT,CI,No,1739
4.9,538,21.5,7.5,27.4,2,963,0,Maize,SI,CT,NI,No,418
8.1,430,7.8,8.4,20.8,4,4280,300,Maize,SDB,DT,NI,Yes,900
8.1,430,7.8,8.4,20.8,4,4220,300,Maize,SI,DT,NI,Yes,2141
8.1,430,7.8,8.4,20.8,5,4350,300,Maize,SDB,DT,NI,Yes,2211
8.1,430,7.8,8.4,20.8,5,4200,300,Maize,SI,DT,NI,Yes,4535
