MAT,MAP,SOC,pH,Clay,Duration,C_input,N_input,Planting_system,Return,Tillage,Irrigation,Topdressing,CUE
13.0,500,9.9,7.38,18.9,4,4215,330,Wheat_maize,SI,CT,CI,Yes,166
20.5,1546,10.7,5.4,30.9,5,800,175,Maize,SI,CT,NI,No,700
20.5,1546,10.7,5.4,30.9,5,800,175,Maize,SI,CT,NI,No,380
20.5,1546,10.7,5.4,30.9,5,800,40,Maize,SI,CT,NI,No,300
9.6,487,7.7,8.2,23.0,2,6901,250,Maize,SI,CT,NI,No,20
9.6,487,7.7,8.2,23.0,2,7745,250,Maize,SI,CT,NI,No,1115
9.6,487,7.7,8.2,23.0,2,7745,250,Maize,SI,CT,NI,No,1125
10.1,732,6.9,7.03,25.3,3,1737,180,Maize,SI,CT,NI,Yes,1013
25.9,651,4.2,7.1,19.2,2,4300,150,Wheat_maize,SI,CT,CI,Yes,1137
25.9,651,4.2,7.1,19.2,2,4300,300,Wheat_maize,SI,CT,CI,Yes,1280
13.4,482,0.9,6.5,22.9,18,3683,260,Wheat_maize,SI,CT,CI,Yes,31
13.4,482,0.9,6.5,22.9,18,3683,260,Wheat_maize,SI,NT,CI,Yes,24
6.2,600,8.0,6.0,25.3,6,1332,0,Maize,SI,CT,NI,No,567
6.2,600,8.0,6.0,25.3,6,2664,0,Maize,SI,CT,NI,No,1182
6.2,600,8.0,6.0,25.3,6,3996,0,Maize,SI,CT,NI,No,1299
11.2,779,5.0,6.8,21.9,6,5720,0,Wheat_maize,SI,CT,CI,No,552
12.9,562,4.5,8.2,25.3,5,3124,150,Wheat_maize,SI,CT,CI,Yes,1421
6.9,385,16.3,8.0,21.9,2,6038,176,Maize,SI,CT,OI,Yes,1273
6.9,385,16.3,8.0,21.9,2,6038,176,Maize,SI,CT,CI,Yes,1209
13.4,510,7.5,7.76,21.7,2,5328,508,Wheat_maize,SI,DT,CI,Yes,115
13.4,510,7.5,7.76,21.7,2,5328,508,Wheat_maize,SI,DT,CI,Yes,127
6.3,510,9.4,5.94,16.9,4,3254,225,Maize,SI,DT,NI,Yes,215
6.3,510,9.4,5.94,16.9,4,3254,225,Maize,SI,DT,NI,Yes,290
6.3,510,9.4,5.94,16.9,4,3213,225,Maize,SI,DT,NI,Yes,140
6.3,510,9.4,5.94,16.9,4,323,225,Maize,SI,DT,NI,Yes,85
13.4,510,8.0,7.93,10.6,1,7340,378,Wheat_maize,SDB,CT,CI,Yes,162
13.4,510,8.0,7.93,10.6,1,7479,378,Wheat_maize,SDB,CT,CI,Yes,-54
13.4,510,8.0,7.93,10.6,1,7351,378,Wheat_maize,SDB,CT,CI,Yes,135
13.4,510,8.0,7.93,10.6,2,7533,378,Wheat_maize,SDB,CT,CI,Yes,122
13.4,510,8.0,7.93,10.6,2,7789,378,Wheat_maize,SDB,CT,CI,Yes,297
13.4,510,8.0,7.93,10.6,2,7839,378,Wheat_maize,SDB,CT,CI,Yes,297
13.4,510,8.0,7.93,10.6,2,7533,378,Wheat_maize,SDB,CT,CI,Yes,67
13.4,510,8.0,7.93,10.6,2,7789,378,Wheat_maize,SDB,CT,CI,Yes,270
13.4,510,8.0,7.93,10.6,2,7839,378,Wheat_maize,SDB,CT,CI,Yes,338
13.4,510,8.0,7.93,10.6,3,7197,378,Wheat_maize,SDB,CT,CI,Yes,36
13.4,510,8.0,7.93,10.6,3,7419,378,Wheat_maize,SDB,CT,CI,Yes,180
13.4,510,8.0,7.93,10.6,3,7470,378,Wheat_maize,SDB,CT,CI,Yes,243
13.4,510,8.0,7.93,10.6,3,7197,378,Wheat_maize,SDB,CT,CI,Yes,54
13.4,510,8.0,7.93,10.6,3,7419,378,Wheat_maize,SDB,CT,CI,Yes,180
13.4,510,8.0,7.93,10.6,3,7470,378,Wheat_maize,SDB,CT,CI,Yes,225
9.0,571,7.1,7.8,27.4,4,5994,0,Maize,SI,DT,NI,No,549
9.0,571,7.1,7.8,27.4,4,3996,0,Maize,SI,DT,NI,No,175
18.2,1100,4.4,8.33,23.0,4,934,332,Wheat_maize,SI,CT,NI,No,285
15.0,535,7.8,8.47,25.3,3,2993,500,Wheat_maize,SI,CT,CI,Yes,19
15.0,535,7.8,8.47,25.3,3,5985,500,Wheat_maize,SI,CT,CI,Yes,-34
8.0,540,6.2,8.2,25.3,38,1496,0,Wheat_maize,SI,CT,CI,No,226
5.0,332,12.7,7.75,25.3,2,4218,165,Maize,SI,CT,NI,No,-130
5.0,332,12.3,7.8,25.3,2,4218,165,Maize,SM,CT,NI,No,744
-4.0,350,24.6,6.12,27.4,41,1197,150,Wheat_maize,SI,CT,CI,Yes,159
-4.0,350,24.6,6.12,27.4,41,1197,75,Wheat_maize,SI,CT,CI,Yes,97
-4.0,350,24.6,6.12,27.4,41,1197,38,Wheat_maize,SI,CT,CI,Yes,40
6.0,350,5.2,8.0,25.3,3,5994,10,Wheat,SI,CT,NI,No,33
6.0,350,5.2,8.0,25.3,3,3996,10,Wheat,SI,CT,NI,No,317
6.0,350,5.2,8.0,25.3,3,1998,10,Wheat,SI,CT,NI,No,211
15.0,596,9.1,6.5,25.3,4,7729,420,Wheat_maize,SI,CT,CI,Yes,0
15.0,596,9.1,6.5,25.3,4,3880,420,Wheat_maize,SI,CT,CI,Yes,5
15.0,596,9.1,6.5,25.3,5,7729,420,Wheat_maize,SI,CT,CI,Yes,752
15.0,596,9.1,6.5,25.3,5,3880,420,Wheat_maize,SI,CT,CI,Yes,574
6.8,198,9.1,8.01,25.3,2,2394,270,Wheat,SI,CT,OI,Yes,53
6.8,198,9.1,8.01,25.3,2,2394,270,Wheat,SI,CT,OI,Yes,111
11.6,607,11.0,8.1,25.3,12,3022,495,Wheat_maize,SI,CT,CI,Yes,307
11.6,607,11.0,8.1,25.3,24,3022,495,Wheat_maize,SI,CT,CI,Yes,222
11.6,607,11.0,8.1,25.3,34,3022,495,Wheat_maize,SI,CT,CI,Yes,124
13.0,632,6.3,8.62,18.9,18,1796,188,Wheat_maize,SI,CT,NI,No,444
6.8,386,9.9,8.29,6.5,3,2220,275,Maize,SI,DT,OI,Yes,480
6.8,386,9.9,8.29,6.5,5,2220,275,Maize,SI,DT,OI,Yes,796
6.8,386,9.9,8.29,6.5,7,2220,275,Maize,SI,DT,OI,Yes,690
