MAT,MAP,SOC,pH,Clay,Duration,C_input,N_input,Planting_system,Return,Tillage,Irrigation,Topdressing,N2O
9.6,487,7.7,8.2,23.0,2,6901,250,Maize,SI,CT,NI,No,0.443384
9.6,487,7.7,8.2,23.0,2,6901,250,Maize,SI,CT,NI,No,0.48309
9.6,487,7.7,8.2,23.0,2,7745,250,Maize,SI,CT,NI,No,0.800738
9.6,487,7.7,8.2,23.0,2,7745,250,Maize,SI,CT,NI,No,0.866914
11.0,500,10.8,7.8,24.0,4,3022,495,Wheat_maize,SI,CT,CI,Yes,0.08
11.0,500,10.8,7.8,24.0,4,3022,225,Maize,SI,CT,CI,Yes,-0.09
14.2,401,6.2,8.16,19.2,1,7193,200,Maize,SI,CT,OI,No,-0.0473
14.2,401,6.2,8.16,19.2,1,7193,200,Maize,SI,CT,OI,No,-0.1656
14.2,401,6.2,8.16,19.2,1,7193,200,Maize,SI,CT,OI,No,-0.1419
14.2,401,6.2,8.16,19.2,1,7193,200,Maize,SI,CT,OI,No,-0.3074
14.2,401,6.2,8.16,19.2,1,7193,200,Maize,SI,CT,OI,No,-0.1892
14.2,401,6.2,8.16,19.2,1,7193,200,Maize,SI,CT,OI,No,0.2129
8.4,481,8.8,7.8,19.5,1,3552,225,Maize,SI,CT,NI,No,-0.205
8.4,481,8.8,7.8,19.5,1,3552,225,Maize,SDB,NT,NI,No,-0.2331
12.5,563,7.7,7.8,25.8,2,2793,0,Wheat,SDB,NT,NI,No,0.03
12.5,563,7.7,7.8,25.8,2,2793,144,Wheat,SDB,NT,NI,Yes,0.06
12.5,563,7.7,7.8,25.8,2,2793,180,Wheat,SDB,NT,NI,Yes,0.11
12.5,563,7.7,7.8,25.8,2,2793,0,Wheat,SI,CT,NI,No,0.03
12.5,563,7.7,7.8,25.8,2,2793,144,Wheat,SI,CT,NI,Yes,0.01
12.5,563,7.7,7.8,25.8,2,2793,180,Wheat,SI,CT,NI,Yes,0.01
12.5,563,7.7,7.8,25.8,3,2793,0,Wheat,SDB,NT,NI,No,0.02
12.5,563,7.7,7.8,25.8,3,2793,144,Wheat,SDB,NT,NI,Yes,0.11
12.5,563,7.7,7.8,25.8,3,2793,180,Wheat,SDB,NT,NI,Yes,0.26
12.5,563,7.7,7.8,25.8,3,2793,0,Wheat,SI,CT,NI,No,0.0
12.5,563,7.7,7.8,25.8,3,2793,144,Wheat,SI,CT,NI,Yes,-0.06
12.5,563,7.7,7.8,25.8,3,2793,180,Wheat,SI,CT,NI,Yes,-0.04
12.9,660,7.7,8.26,24.0,2,2394,225,Wheat_maize,SI,CT,CI,No,1.01
12.9,660,7.7,8.26,24.0,2,2394,225,Wheat_maize,SI,CT,CI,No,-0.18
12.9,660,7.7,8.26,24.0,2,1915,158,Wheat_maize,SI,CT,CI,No,0.28
12.9,660,7.7,8.26,24.0,2,1915,158,Wheat_maize,SI,CT,CI,No,0.01
12.7,594,7.2,8.0,21.0,1,4898,113,Wheat,SI,CT,NI,No,0.42
12.7,594,7.2,8.0,21.0,1,1290,113,Wheat,SM,NT,NI,No,0.01
12.7,594,7.2,8.0,21.0,2,2216,113,Wheat,SI,CT,NI,No,0.12
12.7,594,7.2,8.0,21.0,2,6605,113,Wheat,SM,NT,NI,No,-0.04
15.7,447,13.8,8.0,21.9,2,3276,243,Wheat,SI,CT,CI,Yes,-0.097368421
12.6,606,17.8,7.77,23.3,2,3232,234,Maize,SI,CT,CI,Yes,0.07
8.3,956,6.5,7.1,19.3,2,5175,250,Maize,SI,CT,NI,Yes,0.01
8.3,956,6.5,7.1,19.3,2,4888,250,Maize,SI,CT,NI,Yes,0.15
8.3,956,6.5,7.1,19.3,2,4855,250,Maize,SI,CT,NI,Yes,0.05
9.4,574,22.7,7.1,19.3,2,3330,210,Maize,SI,CT,NI,Yes,0.24
10.1,817,4.7,7.23,18.2,2,2309,180,Maize,SI,CT,NI,Yes,0.35
12.9,550,8.8,7.8,24.0,1,3000,345,Wheat_maize,SI,CT,CI,Yes,-0.03811
12.9,550,8.8,7.8,24.0,1,3000,165,Wheat,SI,CT,CI,Yes,0.6793
12.9,550,8.8,7.8,24.0,2,3000,165,Maize,SI,CT,CI,Yes,0.1589
12.9,550,8.8,7.8,24.0,3,3000,345,Wheat_maize,SI,CT,CI,Yes,0.6605
12.9,550,8.8,7.8,24.0,3,3000,165,Wheat,SI,CT,CI,Yes,0.6096
