MAT,MAP,SOC,pH,Clay,Duration,C_input,N_input,Planting_system,Return,Tillage,Irrigation,Topdressing,yield
27.8,1200,7.6,6.2,17.8,1,1620,0,Maize,SM,NT,NI,No,342
27.8,1200,7.6,6.2,17.8,1,1570,0,Maize,SI,CT,NI,No,203
27.8,1200,7.6,6.2,17.8,1,1680,0,Maize,SI,CT,NI,No,506
27.8,1200,7.6,6.2,17.8,1,1707,0,Maize,SI,CT,NI,No,582
27.8,1200,7.6,6.2,17.8,2,1765,0,Maize,SM,NT,NI,No,408
27.8,1200,7.6,6.2,17.8,2,1874,0,Maize,SI,CT,NI,No,711
27.8,1200,7.6,6.2,17.8,2,1672,0,Maize,SI,CT,NI,No,150
27.8,1200,7.6,6.2,17.8,2,1819,0,Maize,SI,CT,NI,No,557
15.9,1050,14.7,4.85,58.0,1,430,150,Wheat,SM,NT,NI,No,110
15.9,1050,14.7,4.85,58.0,1,430,150,Wheat,SM,NT,NI,No,200
15.9,1050,14.7,4.85,58.0,1,860,150,Wheat,SM,NT,NI,No,330
15.9,1050,14.7,4.85,58.0,1,430,150,Wheat,SI,CT,NI,No,550
15.9,1050,14.7,4.85,58.0,1,860,150,Wheat,SI,CT,NI,No,740
15.9,1050,14.7,4.85,58.0,2,430,150,Wheat,SM,NT,NI,No,-40
15.9,1050,14.7,4.85,58.0,2,860,150,Wheat,SM,NT,NI,No,150
15.9,1050,14.7,4.85,58.0,2,430,150,Wheat,SM,NT,NI,No,80
15.9,1050,14.7,4.85,58.0,2,430,150,Wheat,SI,CT,NI,No,50
15.9,1050,14.7,4.85,58.0,2,860,150,Wheat,SI,CT,NI,No,80
15.9,1050,14.7,4.85,58.0,3,430,150,Wheat,SM,NT,NI,No,30
15.9,1050,14.7,4.85,58.0,3,860,150,Wheat,SM,NT,NI,No,270
15.9,1050,14.7,4.85,58.0,3,430,150,Wheat,SM,NT,NI,No,210
15.9,1050,14.7,4.85,58.0,3,430,150,Wheat,SI,CT,NI,No,20
15.9,1050,14.7,4.85,58.0,3,860,150,Wheat,SI,CT,NI,No,210
21.2,476,9.0,7.9,23.0,2,1189,40,Wheat,SI,CT,CI,Yes,190
21.2,476,9.0,7.9,23.0,2,1284,40,Wheat,SI,DT,CI,Yes,326
9.6,487,7.7,8.2,23.0,2,6901,250,Maize,SI,CT,NI,No,-550
9.6,487,7.7,8.2,23.0,2,6901,250,Maize,SI,CT,NI,No,450
9.6,487,7.7,8.2,23.0,2,7745,250,Maize,SI,CT,NI,No,-600
14.8,420,7.5,7.9,55.0,10,2531,0,Wheat,SI,CT,NI,No,-240
14.8,420,7.5,7.9,55.0,10,755,0,Wheat,SI,CT,NI,No,290
14.8,420,7.5,7.9,55.0,10,1857,0,Wheat,SI,CT,NI,No,390
14.8,420,7.5,7.9,55.0,10,1472,0,Wheat,SI,CT,NI,No,10
14.8,420,7.5,7.9,55.0,10,1933,0,Wheat,SI,CT,NI,No,-350
14.8,420,7.5,7.9,55.0,10,1622,0,Wheat,SI,CT,NI,No,-390
14.8,420,7.5,7.9,55.0,10,1989,0,Wheat,SI,CT,NI,No,240
14.8,420,7.5,7.9,55.0,10,1669,0,Wheat,SI,CT,NI,No,80
14.8,420,7.5,7.9,55.0,10,1908,60,Wheat,SI,CT,NI,Yes,-60
14.8,420,7.5,7.9,55.0,10,1562,20,Wheat,SI,CT,NI,Yes,130
14.8,420,7.5,7.9,55.0,10,2262,40,Wheat,SI,CT,NI,Yes,130
14.8,420,7.5,7.9,55.0,10,1793,40,Wheat,SI,CT,NI,Yes,10
14.8,420,7.5,7.9,55.0,10,1771,40,Wheat,SI,CT,NI,Yes,-190
14.8,420,7.5,7.9,55.0,10,2143,40,Wheat,SI,CT,NI,Yes,300
14.8,420,7.5,7.9,55.0,10,1630,20,Wheat,SI,CT,NI,Yes,660
6.2,750,11.0,7.4,25.3,5,3330,120,Maize,SI,CT,NI,No,722
16.1,554,12.3,7.4,20.5,19,1771,150,Wheat,SM,NT,NI,Yes,-100
16.1,554,12.3,7.4,20.5,19,1686,150,Wheat,SI,CT,NI,Yes,-200
16.8,535,3.9,7.6,11.0,5,1985,150,Wheat,SM,NT,NI,Yes,0
16.8,535,3.9,7.6,11.0,5,2027,150,Wheat,SI,CT,NI,Yes,-100
10.1,732,6.9,7.03,25.3,3,1737,180,Maize,SI,CT,NI,Yes,50
11.0,500,10.8,7.8,24.0,4,3022,495,Wheat_maize,SI,CT,CI,Yes,1075
13.4,482,0.9,6.5,22.9,18,3683,260,Wheat_maize,SI,CT,CI,Yes,400
13.4,482,0.9,6.5,22.9,18,3683,260,Wheat_maize,SI,CT,CI,Yes,400
6.2,600,8.0,6.0,25.3,6,1332,0,Maize,SI,CT,NI,No,266
6.2,600,8.0,6.0,25.3,6,2664,0,Maize,SI,CT,NI,No,426
6.2,600,8.0,6.0,25.3,6,3996,0,Maize,SI,CT,NI,No,692
6.2,600,8.0,6.0,25.3,6,5328,0,Maize,SI,CT,NI,No,579
6.2,600,8.0,6.0,25.3,6,1332,0,Maize,SI,CT,NI,No,266
6.2,600,8.0,6.0,25.3,6,2664,0,Maize,SI,CT,NI,No,426
6.2,600,8.0,6.0,25.3,6,3996,0,Maize,SI,CT,NI,No,692
6.2,600,8.0,6.0,25.3,6,5328,0,Maize,SI,CT,NI,No,579
6.9,385,16.3,8.0,21.9,1,6038,176,Maize,SI,CT,OI,Yes,772
6.9,385,16.3,8.0,21.9,1,6038,176,Maize,SI,CT,OI,Yes,732
6.9,385,16.3,8.0,21.9,1,6038,176,Maize,SI,CT,CI,Yes,1708
6.9,385,16.3,8.0,21.9,2,6038,176,Maize,SI,CT,OI,Yes,894
6.9,385,16.3,8.0,21.9,2,6038,176,Maize,SI,CT,OI,Yes,1017
6.9,385,16.3,8.0,21.9,2,6038,176,Maize,SI,CT,CI,Yes,1382
13.4,510,7.5,7.76,21.7,2,5328,508,Wheat_maize,SI,DT,CI,Yes,500
13.4,510,7.5,7.76,21.7,2,5328,508,Wheat_maize,SI,DT,CI,Yes,370
13.4,510,7.5,7.76,21.7,3,5328,508,Wheat_maize,SI,DT,CI,Yes,770
13.4,510,7.5,7.76,21.7,3,5328,508,Wheat_maize,SI,DT,CI,Yes,690
13.4,510,8.0,7.93,10.6,1,7340,378,Wheat_maize,SDB,CT,CI,Yes,260
13.4,510,8.0,7.93,10.6,1,7479,378,Wheat_maize,SDB,CT,CI,Yes,600
13.4,510,8.0,7.93,10.6,1,7351,378,Wheat_maize,SDB,CT,CI,Yes,270
13.4,510,8.0,7.93,10.6,2,7533,378,Wheat_maize,SDB,CT,CI,Yes,650
13.4,510,8.0,7.93,10.6,2,7789,378,Wheat_maize,SDB,CT,CI,Yes,1310
13.4,510,8.0,7.93,10.6,2,7839,378,Wheat_maize,SDB,CT,CI,Yes,1440
13.4,510,8.0,7.93,10.6,3,7197,378,Wheat_maize,SDB,CT,CI,Yes,290
13.4,510,8.0,7.93,10.6,3,7419,378,Wheat_maize,SDB,CT,CI,Yes,840
13.4,510,8.0,7.93,10.6,3,7470,378,Wheat_maize,SDB,CT,CI,Yes,960
9.0,571,7.1,7.8,27.4,4,5994,0,Maize,SI,DT,NI,No,1208
9.0,571,7.1,7.8,27.4,4,3996,0,Maize,SI,DT,NI,No,763
8.5,1213,3.2,6.6,9.6,11,3480,180,Maize,SM,NT,NI,Yes,-600
8.5,1213,3.2,6.6,9.6,11,3516,180,Maize,SM,NT,NI,Yes,-500
8.5,1213,3.2,6.6,9.6,11,3660,180,Maize,SI,CT,NI,Yes,0
15.0,535,7.8,8.47,25.3,3,2993,500,Wheat_maize,SI,CT,CI,Yes,1324
15.0,535,7.8,8.47,25.3,3,5985,500,Wheat_maize,SI,CT,CI,Yes,2117
15.0,535,7.8,8.47,25.3,3,8978,500,Wheat_maize,SI,CT,CI,Yes,1944
5.0,332,12.7,7.8,25.3,2,4218,165,Maize,SI,CT,NI,No,310
5.0,332,12.7,7.8,25.3,2,4218,165,Maize,SM,CT,NI,No,336
5.0,332,12.7,7.8,25.3,2,4218,165,Maize,SI,CT,NI,No,826
18.6,284,9.5,6.5,20.0,1,1418,150,Wheat,SM,NT,NI,No,48
18.6,284,9.5,6.5,20.0,1,1315,150,Wheat,SM,NT,NI,No,264
18.6,284,9.5,6.5,20.0,1,1327,150,Wheat,SM,NT,NI,No,215
18.6,284,9.5,6.5,20.0,3,1309,150,Wheat,SM,NT,NI,No,-110
18.6,284,9.5,6.5,20.0,3,1327,150,Wheat,SM,NT,NI,No,-175
18.6,284,9.5,6.5,20.0,1,1356,150,Wheat,SM,NT,NI,No,137
18.6,284,9.5,6.5,20.0,1,1284,150,Wheat,SM,NT,NI,No,388
18.6,284,9.5,6.5,20.0,1,1169,150,Wheat,SM,NT,NI,No,-95
18.6,284,9.5,6.5,20.0,2,1500,150,Wheat,SM,NT,NI,No,-218
18.6,284,9.5,6.5,20.0,2,1596,150,Wheat,SM,NT,NI,No,-286
18.6,284,9.5,6.5,20.0,5,1275,150,Wheat,SM,NT,NI,No,-41
18.6,284,9.5,6.5,20.0,5,1334,150,Wheat,SM,NT,NI,No,-27
6.0,350,5.2,8.0,25.3,3,3996,10,Wheat,SI,CT,NI,No,1250
6.0,350,5.2,8.0,25.3,3,1998,10,Wheat,SI,CT,NI,No,183
6.0,350,5.4,8.0,25.3,3,3996,10,Wheat,SI,CT,NI,No,1250
6.0,350,5.4,8.0,25.3,3,1998,10,Wheat,SI,CT,NI,No,183
15.0,596,9.1,6.5,25.3,1,7729,420,Wheat_maize,SI,CT,CI,Yes,234
15.0,596,9.1,6.5,25.3,1,3880,420,Wheat_maize,SI,CT,CI,Yes,509
15.0,596,9.1,6.5,25.3,2,3880,420,Wheat_maize,SI,CT,CI,Yes,1062
15.0,596,9.1,6.5,25.3,3,7729,420,Wheat_maize,SI,CT,CI,Yes,1442
15.0,596,9.1,6.5,25.3,3,3880,420,Wheat_maize,SI,CT,CI,Yes,990
6.8,198,9.1,8.01,25.3,2,1197,270,Wheat,SI,CT,OI,Yes,1005
6.8,198,9.1,8.01,25.3,2,2394,270,Wheat,SI,CT,OI,Yes,159
6.8,198,9.1,8.01,25.3,2,2394,270,Wheat,SI,CT,OI,Yes,653
6.8,198,9.1,8.01,25.3,2,2394,270,Wheat,SI,CT,OI,Yes,-388
11.6,607,11.0,8.1,25.3,12,3022,495,Wheat_maize,SI,CT,CI,Yes,1232
11.6,607,11.0,8.1,25.3,34,3022,495,Wheat_maize,SI,CT,CI,Yes,1854
8.6,699,8.5,6.4,25.3,3,4662,80,Maize,SI,CT,NI,Yes,134
7.3,200,4.5,7.43,22.4,1,7806,338,Wheat_maize,SM,NT,CI,Yes,1936
7.3,200,4.5,7.43,22.4,1,7094,338,Wheat_maize,SM,NT,CI,Yes,1928
7.3,200,4.5,7.43,22.4,1,6124,338,Wheat_maize,SI,CT,CI,Yes,2008
